[34m2025-08-13 13:37:21.402[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] Starting CarRentalSystemsApplication using Java 21.0.6 with PID 20736 (C:\Users\jancy\OneDrive\Desktop\car-rental-systems\target\classes started by jancy in C:\Users\jancy\OneDrive\Desktop\car-rental-systems)
[34m2025-08-13 13:37:21.416[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] No active profile set, falling back to 1 default profile: "default"
[34m2025-08-13 13:37:23.094[0;39m [INFO] org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[34m2025-08-13 13:37:23.203[0;39m [INFO] org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Finished Spring Data repository scanning in 94 ms. Found 5 JPA repository interfaces.
[34m2025-08-13 13:37:24.014[0;39m [INFO] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat initialized with port 8080 (http)
[34m2025-08-13 13:37:24.036[0;39m [INFO] org.apache.catalina.core.StandardService [main] Starting service [Tomcat]
[34m2025-08-13 13:37:24.037[0;39m [INFO] org.apache.catalina.core.StandardEngine [main] Starting Servlet engine: [Apache Tomcat/10.1.20]
[34m2025-08-13 13:37:24.146[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [main] Initializing Spring embedded WebApplicationContext
[34m2025-08-13 13:37:24.147[0;39m [INFO] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext [main] Root WebApplicationContext: initialization completed in 2652 ms
[34m2025-08-13 13:37:24.394[0;39m [INFO] org.hibernate.jpa.internal.util.LogHelper [main] HHH000204: Processing PersistenceUnitInfo [name: default]
[34m2025-08-13 13:37:24.528[0;39m [INFO] org.hibernate.Version [main] HHH000412: Hibernate ORM core version 6.4.4.Final
[34m2025-08-13 13:37:24.608[0;39m [INFO] org.hibernate.cache.internal.RegionFactoryInitiator [main] HHH000026: Second-level cache disabled
[34m2025-08-13 13:37:25.005[0;39m [INFO] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo [main] No LoadTimeWeaver setup: ignoring JPA class transformer
[34m2025-08-13 13:37:25.055[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Starting...
[34m2025-08-13 13:37:25.638[0;39m [INFO] com.zaxxer.hikari.pool.HikariPool [main] HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1ff542a3
[34m2025-08-13 13:37:25.641[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Start completed.
[34m2025-08-13 13:37:25.733[0;39m [WARN] org.hibernate.orm.deprecation [main] HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
[34m2025-08-13 13:37:25.735[0;39m [WARN] org.hibernate.orm.deprecation [main] HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
[34m2025-08-13 13:37:27.290[0;39m [INFO] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator [main] HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
[34m2025-08-13 13:37:27.526[0;39m [INFO] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean [main] Initialized JPA EntityManagerFactory for persistence unit 'default'
[34m2025-08-13 13:37:27.978[0;39m [INFO] org.springframework.data.jpa.repository.query.QueryEnhancerFactory [main] Hibernate is in classpath; If applicable, HQL parser will be used.
[34m2025-08-13 13:37:29.100[0;39m [WARN] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration [main] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[34m2025-08-13 13:37:29.568[0;39m [INFO] org.springframework.security.web.DefaultSecurityFilterChain [main] Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4c822e9b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@24456c9e, org.springframework.security.web.context.SecurityContextHolderFilter@428943a4, org.springframework.security.web.header.HeaderWriterFilter@43bda665, org.springframework.web.filter.CorsFilter@7bd6a7f9, org.springframework.security.web.authentication.logout.LogoutFilter@12039ae0, com.hexaware.carrentalsystems.filter.JwtAuthFilter@2a7ed9bd, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6b909973, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@44cd3ea9, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@690b6292, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7c305624, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7b4fbedb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@34207fde, org.springframework.security.web.access.ExceptionTranslationFilter@6988dc14, org.springframework.security.web.access.intercept.AuthorizationFilter@4a842e8a]
[34m2025-08-13 13:37:30.240[0;39m [INFO] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat started on port 8080 (http) with context path ''
[34m2025-08-13 13:37:30.261[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] Started CarRentalSystemsApplication in 9.553 seconds (process running for 10.868)
[34m2025-08-13 13:41:05.740[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [http-nio-8080-exec-2] Initializing Spring DispatcherServlet 'dispatcherServlet'
